#HID69-3  Hist_00732
    -180 0.006424000
    -174 0.018148000
    -168 0.026790000
    -162 0.021596000
    -156 0.009800000
    -150 0.002706000
    -144 0.000566000
    -138 0.000122000
    -132 0.000028000
    -126 0.000028000
    -120 0.000044000
    -114 0.000042000
    -108 0.000084000
    -102 0.000236000
     -96 0.000662000
     -90 0.002566000
     -84 0.009990000
     -78 0.037084000
     -72 0.108160000
     -66 0.203128000
     -60 0.232930000
     -54 0.172124000
     -48 0.089076000
     -42 0.036596000
     -36 0.013102000
     -30 0.004196000
     -24 0.001202000
     -18 0.000266000
     -12 0.000122000
      -6 0.000056000
       0 0.000026000
       6 0.000018000
      12 0.000010000
      18 0.000012000
      24 0.000014000
      30 0.000012000
      36 0.000014000
      42 0.000020000
      48 0.000008000
      54 0.000004000
      60 0.000000000
      66 0.000004000
      72 0.000000000
      78 0.000000000
      84 0.000000000
      90 0.000000000
      96 0.000000000
     102 0.000000000
     108 0.000000000
     114 0.000000000
     120 0.000000000
     126 0.000000000
     132 0.000000000
     138 0.000000000
     144 0.000000000
     150 0.000004000
     156 0.000028000
     162 0.000092000
     168 0.000306000
     174 0.001554000
