#GLN157-4  Hist_01654
     -180 0.110070000
     -174 0.080932000
     -168 0.053904000
     -162 0.031128000
     -156 0.016208000
     -150 0.007954000
     -144 0.004158000
     -138 0.002696000
     -132 0.002530000
     -126 0.003532000
     -120 0.005390000
     -114 0.007954000
     -108 0.011386000
     -102 0.013578000
      -96 0.012538000
      -90 0.008654000
      -84 0.004230000
      -78 0.001566000
      -72 0.000370000
      -66 0.000070000
      -60 0.000006000
      -54 0.000006000
      -48 0.000000000
      -42 0.000000000
      -36 0.000000000
      -30 0.000000000
      -24 0.000000000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000002000
       48 0.000006000
       54 0.000008000
       60 0.000014000
       66 0.000012000
       72 0.000026000
       78 0.000014000
       84 0.000024000
       90 0.000054000
       96 0.000064000
      102 0.000052000
      108 0.000068000
      114 0.000152000
      120 0.000396000
      126 0.001196000
      132 0.003622000
      138 0.010698000
      144 0.028206000
      150 0.061196000
      156 0.102026000
      162 0.135324000
      168 0.145008000
      174 0.132972000
