#PRO178-3  Hist_01862
     -180 0.000000000
     -174 0.000000000
     -168 0.000000000
     -162 0.000000000
     -156 0.000000000
     -150 0.000000000
     -144 0.000000000
     -138 0.000000000
     -132 0.000000000
     -126 0.000000000
     -120 0.000000000
     -114 0.000000000
     -108 0.000000000
     -102 0.000000000
      -96 0.000000000
      -90 0.000000000
      -84 0.000000000
      -78 0.000000000
      -72 0.000000000
      -66 0.000000000
      -60 0.000000000
      -54 0.000030000
      -48 0.001172000
      -42 0.015010000
      -36 0.071186000
      -30 0.148812000
      -24 0.155390000
      -18 0.095864000
      -12 0.041318000
       -6 0.015278000
        0 0.006704000
        6 0.006352000
       12 0.014474000
       18 0.045408000
       24 0.113542000
       30 0.160032000
       36 0.092892000
       42 0.015982000
       48 0.000548000
       54 0.000006000
       60 0.000000000
       66 0.000000000
       72 0.000000000
       78 0.000000000
       84 0.000000000
       90 0.000000000
       96 0.000000000
      102 0.000000000
      108 0.000000000
      114 0.000000000
      120 0.000000000
      126 0.000000000
      132 0.000000000
      138 0.000000000
      144 0.000000000
      150 0.000000000
      156 0.000000000
      162 0.000000000
      168 0.000000000
      174 0.000000000
