#ARG14-0  Hist_00146
    -180 0.000010000
    -174 0.000070000
    -168 0.000666000
    -162 0.003014000
    -156 0.010072000
    -150 0.024882000
    -144 0.047846000
    -138 0.075090000
    -132 0.095080000
    -126 0.101858000
    -120 0.100984000
    -114 0.097478000
    -108 0.096620000
    -102 0.095762000
     -96 0.089256000
     -90 0.074574000
     -84 0.049714000
     -78 0.024920000
     -72 0.009418000
     -66 0.002302000
     -60 0.000346000
     -54 0.000034000
     -48 0.000004000
     -42 0.000000000
     -36 0.000000000
     -30 0.000000000
     -24 0.000000000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000000000
      54 0.000000000
      60 0.000000000
      66 0.000000000
      72 0.000000000
      78 0.000000000
      84 0.000000000
      90 0.000000000
      96 0.000000000
     102 0.000000000
     108 0.000000000
     114 0.000000000
     120 0.000000000
     126 0.000000000
     132 0.000000000
     138 0.000000000
     144 0.000000000
     150 0.000000000
     156 0.000000000
     162 0.000000000
     168 0.000000000
     174 0.000000000
