#ARG8-4   Hist_00088
    -180 0.195000000
    -174 0.132162000
    -168 0.067642000
    -162 0.028680000
    -156 0.010846000
    -150 0.003774000
    -144 0.001406000
    -138 0.000658000
    -132 0.000424000
    -126 0.000394000
    -120 0.000372000
    -114 0.000542000
    -108 0.000972000
    -102 0.001980000
     -96 0.003270000
     -90 0.004964000
     -84 0.005852000
     -78 0.004806000
     -72 0.002558000
     -66 0.000936000
     -60 0.000264000
     -54 0.000086000
     -48 0.000022000
     -42 0.000006000
     -36 0.000004000
     -30 0.000000000
     -24 0.000004000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000002000
      30 0.000008000
      36 0.000018000
      42 0.000096000
      48 0.000250000
      54 0.000718000
      60 0.001768000
      66 0.002902000
      72 0.003620000
      78 0.002984000
      84 0.001880000
      90 0.000870000
      96 0.000348000
     102 0.000136000
     108 0.000078000
     114 0.000046000
     120 0.000088000
     126 0.000150000
     132 0.000352000
     138 0.001008000
     144 0.003612000
     150 0.012424000
     156 0.037448000
     162 0.088844000
     168 0.161860000
     174 0.210866000
