#HID168-3  Hist_01770
     -180 0.006056000
     -174 0.018214000
     -168 0.027832000
     -162 0.021998000
     -156 0.008890000
     -150 0.002092000
     -144 0.000442000
     -138 0.000116000
     -132 0.000060000
     -126 0.000036000
     -120 0.000058000
     -114 0.000054000
     -108 0.000110000
     -102 0.000212000
      -96 0.000588000
      -90 0.002110000
      -84 0.008518000
      -78 0.034430000
      -72 0.105812000
      -66 0.202902000
      -60 0.238354000
      -54 0.175688000
      -48 0.091290000
      -42 0.036482000
      -36 0.011706000
      -30 0.003112000
      -24 0.000790000
      -18 0.000230000
      -12 0.000080000
       -6 0.000028000
        0 0.000018000
        6 0.000012000
       12 0.000008000
       18 0.000004000
       24 0.000006000
       30 0.000006000
       36 0.000012000
       42 0.000012000
       48 0.000004000
       54 0.000008000
       60 0.000002000
       66 0.000002000
       72 0.000002000
       78 0.000000000
       84 0.000000000
       90 0.000000000
       96 0.000000000
      102 0.000000000
      108 0.000000000
      114 0.000000000
      120 0.000000000
      126 0.000000000
      132 0.000000000
      138 0.000000000
      144 0.000000000
      150 0.000000000
      156 0.000010000
      162 0.000064000
      168 0.000234000
      174 0.001306000
