#PRO1-1   Hist_00002
    -180 0.046990000
    -174 0.025666000
    -168 0.012838000
    -162 0.006054000
    -156 0.002846000
    -150 0.001404000
    -144 0.000620000
    -138 0.000316000
    -132 0.000184000
    -126 0.000106000
    -120 0.000082000
    -114 0.000086000
    -108 0.000058000
    -102 0.000048000
     -96 0.000122000
     -90 0.000178000
     -84 0.000292000
     -78 0.000422000
     -72 0.000538000
     -66 0.000692000
     -60 0.000580000
     -54 0.000486000
     -48 0.000290000
     -42 0.000190000
     -36 0.000088000
     -30 0.000072000
     -24 0.000026000
     -18 0.000030000
     -12 0.000014000
      -6 0.000018000
       0 0.000024000
       6 0.000026000
      12 0.000068000
      18 0.000074000
      24 0.000150000
      30 0.000264000
      36 0.000412000
      42 0.000714000
      48 0.001136000
      54 0.001644000
      60 0.002414000
      66 0.003248000
      72 0.004212000
      78 0.005324000
      84 0.006788000
      90 0.008790000
      96 0.010808000
     102 0.013408000
     108 0.016050000
     114 0.018836000
     120 0.023034000
     126 0.029812000
     132 0.040706000
     138 0.058392000
     144 0.082194000
     150 0.109782000
     156 0.131734000
     162 0.134958000
     168 0.113458000
     174 0.080204000
