#PRO143-1  Hist_01504
     -180 0.000064000
     -174 0.000006000
     -168 0.000000000
     -162 0.000000000
     -156 0.000000000
     -150 0.000000000
     -144 0.000000000
     -138 0.000000000
     -132 0.000000000
     -126 0.000000000
     -120 0.000000000
     -114 0.000000000
     -108 0.000000000
     -102 0.000000000
      -96 0.000000000
      -90 0.000000000
      -84 0.000000000
      -78 0.000000000
      -72 0.000000000
      -66 0.000000000
      -60 0.000000000
      -54 0.000000000
      -48 0.000000000
      -42 0.000000000
      -36 0.000000000
      -30 0.000000000
      -24 0.000000000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000004000
       36 0.000004000
       42 0.000006000
       48 0.000014000
       54 0.000012000
       60 0.000032000
       66 0.000050000
       72 0.000050000
       78 0.000100000
       84 0.000172000
       90 0.000360000
       96 0.000866000
      102 0.002406000
      108 0.006538000
      114 0.018780000
      120 0.045128000
      126 0.094188000
      132 0.158344000
      138 0.210950000
      144 0.209190000
      150 0.148852000
      156 0.073434000
      162 0.024370000
      168 0.005360000
      174 0.000720000
