#LYS119-0  Hist_01246
     -180 0.001464000
     -174 0.008208000
     -168 0.029506000
     -162 0.072732000
     -156 0.131786000
     -150 0.181518000
     -144 0.186772000
     -138 0.145770000
     -132 0.093092000
     -126 0.053620000
     -120 0.030618000
     -114 0.018488000
     -108 0.011750000
     -102 0.008858000
      -96 0.007018000
      -90 0.005854000
      -84 0.004782000
      -78 0.003558000
      -72 0.002374000
      -66 0.001314000
      -60 0.000594000
      -54 0.000150000
      -48 0.000040000
      -42 0.000006000
      -36 0.000002000
      -30 0.000000000
      -24 0.000000000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000000000
       54 0.000000000
       60 0.000000000
       66 0.000000000
       72 0.000000000
       78 0.000000000
       84 0.000000000
       90 0.000000000
       96 0.000000000
      102 0.000000000
      108 0.000000000
      114 0.000000000
      120 0.000000000
      126 0.000000000
      132 0.000000000
      138 0.000000000
      144 0.000000000
      150 0.000000000
      156 0.000000000
      162 0.000000000
      168 0.000006000
      174 0.000120000
