#GLN117-1  Hist_01224
     -180 0.013850000
     -174 0.004680000
     -168 0.001378000
     -162 0.000330000
     -156 0.000052000
     -150 0.000024000
     -144 0.000000000
     -138 0.000000000
     -132 0.000000000
     -126 0.000000000
     -120 0.000000000
     -114 0.000000000
     -108 0.000000000
     -102 0.000000000
      -96 0.000000000
      -90 0.000000000
      -84 0.000000000
      -78 0.000000000
      -72 0.000000000
      -66 0.000000000
      -60 0.000000000
      -54 0.000000000
      -48 0.000000000
      -42 0.000000000
      -36 0.000000000
      -30 0.000000000
      -24 0.000000000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000002000
       54 0.000006000
       60 0.000010000
       66 0.000030000
       72 0.000042000
       78 0.000094000
       84 0.000330000
       90 0.000724000
       96 0.001848000
      102 0.004584000
      108 0.011120000
      114 0.023236000
      120 0.042160000
      126 0.068144000
      132 0.094114000
      138 0.116728000
      144 0.133516000
      150 0.141608000
      156 0.133968000
      162 0.105606000
      168 0.067662000
      174 0.034154000
