#LYS70-4  Hist_00744
    -180 0.170874000
    -174 0.133564000
    -168 0.077982000
    -162 0.035782000
    -156 0.013724000
    -150 0.004642000
    -144 0.001510000
    -138 0.000650000
    -132 0.000328000
    -126 0.000202000
    -120 0.000192000
    -114 0.000248000
    -108 0.000426000
    -102 0.000772000
     -96 0.001434000
     -90 0.003106000
     -84 0.005908000
     -78 0.010638000
     -72 0.015684000
     -66 0.019468000
     -60 0.018830000
     -54 0.013336000
     -48 0.007166000
     -42 0.002984000
     -36 0.001016000
     -30 0.000310000
     -24 0.000110000
     -18 0.000032000
     -12 0.000010000
      -6 0.000008000
       0 0.000006000
       6 0.000004000
      12 0.000018000
      18 0.000038000
      24 0.000080000
      30 0.000284000
      36 0.000680000
      42 0.001764000
      48 0.003970000
      54 0.007260000
      60 0.010686000
      66 0.012216000
      72 0.010850000
      78 0.008232000
      84 0.005936000
      90 0.003692000
      96 0.002222000
     102 0.001104000
     108 0.000548000
     114 0.000354000
     120 0.000284000
     126 0.000388000
     132 0.000604000
     138 0.001362000
     144 0.003868000
     150 0.010842000
     156 0.028860000
     162 0.064420000
     168 0.116246000
     174 0.162246000
