#GLU120-5  Hist_01272
     -180 0.010976000
     -174 0.012000000
     -168 0.013634000
     -162 0.016102000
     -156 0.017976000
     -150 0.019736000
     -144 0.021164000
     -138 0.020312000
     -132 0.019124000
     -126 0.016754000
     -120 0.014340000
     -114 0.012470000
     -108 0.010716000
     -102 0.010124000
      -96 0.010398000
      -90 0.011218000
      -84 0.012340000
      -78 0.013754000
      -72 0.015832000
      -66 0.018682000
      -60 0.021438000
      -54 0.024830000
      -48 0.027886000
      -42 0.028884000
      -36 0.027256000
      -30 0.023032000
      -24 0.017822000
      -18 0.014146000
      -12 0.011186000
       -6 0.010342000
        0 0.010100000
        6 0.010882000
       12 0.012376000
       18 0.014326000
       24 0.016990000
       30 0.019514000
       36 0.021186000
       42 0.022718000
       48 0.021440000
       54 0.019184000
       60 0.016564000
       66 0.014334000
       72 0.012042000
       78 0.011024000
       84 0.010744000
       90 0.011186000
       96 0.012064000
      102 0.012610000
      108 0.013972000
      114 0.015828000
      120 0.018392000
      126 0.021070000
      132 0.023780000
      138 0.025952000
      144 0.025658000
      150 0.022922000
      156 0.019084000
      162 0.015660000
      168 0.012450000
      174 0.011474000
