#LEU109-0  Hist_01146
     -180 0.000298000
     -174 0.002522000
     -168 0.012560000
     -162 0.036784000
     -156 0.073968000
     -150 0.108420000
     -144 0.125026000
     -138 0.120544000
     -132 0.105448000
     -126 0.087232000
     -120 0.071356000
     -114 0.058934000
     -108 0.048916000
     -102 0.041428000
      -96 0.034570000
      -90 0.027576000
      -84 0.020514000
      -78 0.012920000
      -72 0.006946000
      -66 0.002792000
      -60 0.000966000
      -54 0.000222000
      -48 0.000040000
      -42 0.000006000
      -36 0.000000000
      -30 0.000000000
      -24 0.000000000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000000000
       54 0.000000000
       60 0.000000000
       66 0.000000000
       72 0.000000000
       78 0.000000000
       84 0.000000000
       90 0.000000000
       96 0.000000000
      102 0.000000000
      108 0.000000000
      114 0.000000000
      120 0.000000000
      126 0.000000000
      132 0.000000000
      138 0.000000000
      144 0.000000000
      150 0.000000000
      156 0.000000000
      162 0.000000000
      168 0.000000000
      174 0.000012000
