#TRP141-0  Hist_01476
     -180 0.001612000
     -174 0.010988000
     -168 0.045540000
     -162 0.112130000
     -156 0.177208000
     -150 0.192794000
     -144 0.156482000
     -138 0.103558000
     -132 0.061074000
     -126 0.035432000
     -120 0.021844000
     -114 0.013946000
     -108 0.010406000
     -102 0.008466000
      -96 0.007848000
      -90 0.007798000
      -84 0.007642000
      -78 0.007452000
      -72 0.006792000
      -66 0.005104000
      -60 0.003228000
      -54 0.001632000
      -48 0.000620000
      -42 0.000196000
      -36 0.000048000
      -30 0.000004000
      -24 0.000002000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000000000
       54 0.000000000
       60 0.000000000
       66 0.000000000
       72 0.000000000
       78 0.000000000
       84 0.000000000
       90 0.000000000
       96 0.000000000
      102 0.000000000
      108 0.000000000
      114 0.000000000
      120 0.000000000
      126 0.000000000
      132 0.000000000
      138 0.000000000
      144 0.000000000
      150 0.000000000
      156 0.000000000
      162 0.000000000
      168 0.000008000
      174 0.000146000
