#GLY172-1  Hist_01810
     -180 0.103100000
     -174 0.146704000
     -168 0.172944000
     -162 0.166578000
     -156 0.132428000
     -150 0.087796000
     -144 0.049128000
     -138 0.022868000
     -132 0.008924000
     -126 0.002982000
     -120 0.000868000
     -114 0.000232000
     -108 0.000084000
     -102 0.000012000
      -96 0.000008000
      -90 0.000002000
      -84 0.000002000
      -78 0.000000000
      -72 0.000000000
      -66 0.000000000
      -60 0.000000000
      -54 0.000000000
      -48 0.000000000
      -42 0.000000000
      -36 0.000000000
      -30 0.000000000
      -24 0.000000000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000000000
       54 0.000000000
       60 0.000000000
       66 0.000000000
       72 0.000000000
       78 0.000000000
       84 0.000000000
       90 0.000000000
       96 0.000000000
      102 0.000000000
      108 0.000000000
      114 0.000002000
      120 0.000020000
      126 0.000042000
      132 0.000094000
      138 0.000206000
      144 0.000600000
      150 0.001692000
      156 0.004656000
      162 0.011654000
      168 0.028296000
      174 0.058078000
