#GLY115-0  Hist_01210
     -180 0.000482000
     -174 0.000394000
     -168 0.000450000
     -162 0.000408000
     -156 0.000406000
     -150 0.000334000
     -144 0.000302000
     -138 0.000254000
     -132 0.000256000
     -126 0.000318000
     -120 0.000340000
     -114 0.000436000
     -108 0.000546000
     -102 0.000602000
      -96 0.000626000
      -90 0.000688000
      -84 0.000466000
      -78 0.000244000
      -72 0.000118000
      -66 0.000128000
      -60 0.000192000
      -54 0.000242000
      -48 0.000216000
      -42 0.000086000
      -36 0.000040000
      -30 0.000018000
      -24 0.000008000
      -18 0.000002000
      -12 0.000002000
       -6 0.000004000
        0 0.000006000
        6 0.000022000
       12 0.000102000
       18 0.000384000
       24 0.001834000
       30 0.007776000
       36 0.029088000
       42 0.083906000
       48 0.172320000
       54 0.240752000
       60 0.226352000
       66 0.142028000
       72 0.060816000
       78 0.018538000
       84 0.004600000
       90 0.001044000
       96 0.000252000
      102 0.000090000
      108 0.000036000
      114 0.000022000
      120 0.000012000
      126 0.000012000
      132 0.000028000
      138 0.000038000
      144 0.000048000
      150 0.000098000
      156 0.000158000
      162 0.000228000
      168 0.000348000
      174 0.000454000
