#HID69-1  Hist_00728
    -180 0.001688000
    -174 0.000508000
    -168 0.000128000
    -162 0.000034000
    -156 0.000008000
    -150 0.000000000
    -144 0.000000000
    -138 0.000000000
    -132 0.000000000
    -126 0.000000000
    -120 0.000000000
    -114 0.000000000
    -108 0.000000000
    -102 0.000000000
     -96 0.000000000
     -90 0.000000000
     -84 0.000000000
     -78 0.000000000
     -72 0.000000000
     -66 0.000000000
     -60 0.000000000
     -54 0.000000000
     -48 0.000000000
     -42 0.000000000
     -36 0.000000000
     -30 0.000000000
     -24 0.000000000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000000000
      54 0.000000000
      60 0.000000000
      66 0.000004000
      72 0.000018000
      78 0.000074000
      84 0.000310000
      90 0.001510000
      96 0.005252000
     102 0.016318000
     108 0.041098000
     114 0.082016000
     120 0.130480000
     126 0.164792000
     132 0.169376000
     138 0.143872000
     144 0.103964000
     150 0.065872000
     156 0.037958000
     162 0.020416000
     168 0.009900000
     174 0.004404000
