#TYR158-0  Hist_01660
     -180 0.000000000
     -174 0.000000000
     -168 0.000002000
     -162 0.000058000
     -156 0.000402000
     -150 0.002176000
     -144 0.009062000
     -138 0.024506000
     -132 0.049884000
     -126 0.079210000
     -120 0.106100000
     -114 0.124014000
     -108 0.131158000
     -102 0.127160000
      -96 0.114242000
      -90 0.094034000
      -84 0.067886000
      -78 0.041008000
      -72 0.019764000
      -66 0.007200000
      -60 0.001768000
      -54 0.000324000
      -48 0.000040000
      -42 0.000002000
      -36 0.000000000
      -30 0.000000000
      -24 0.000000000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000000000
       54 0.000000000
       60 0.000000000
       66 0.000000000
       72 0.000000000
       78 0.000000000
       84 0.000000000
       90 0.000000000
       96 0.000000000
      102 0.000000000
      108 0.000000000
      114 0.000000000
      120 0.000000000
      126 0.000000000
      132 0.000000000
      138 0.000000000
      144 0.000000000
      150 0.000000000
      156 0.000000000
      162 0.000000000
      168 0.000000000
      174 0.000000000
