#ILE3-4   Hist_00034
    -180 0.082028000
    -174 0.049934000
    -168 0.023122000
    -162 0.008432000
    -156 0.002372000
    -150 0.000586000
    -144 0.000146000
    -138 0.000024000
    -132 0.000012000
    -126 0.000010000
    -120 0.000016000
    -114 0.000024000
    -108 0.000094000
    -102 0.000266000
     -96 0.001206000
     -90 0.004656000
     -84 0.015748000
     -78 0.038928000
     -72 0.068332000
     -66 0.081530000
     -60 0.064140000
     -54 0.033686000
     -48 0.012196000
     -42 0.003016000
     -36 0.000604000
     -30 0.000076000
     -24 0.000024000
     -18 0.000000000
     -12 0.000002000
      -6 0.000000000
       0 0.000000000
       6 0.000002000
      12 0.000006000
      18 0.000016000
      24 0.000050000
      30 0.000206000
      36 0.000552000
      42 0.001588000
      48 0.003108000
      54 0.004996000
      60 0.006036000
      66 0.006868000
      72 0.007360000
      78 0.009654000
      84 0.012818000
      90 0.015060000
      96 0.013254000
     102 0.009168000
     108 0.005806000
     114 0.004088000
     120 0.003334000
     126 0.003850000
     132 0.005684000
     138 0.009958000
     144 0.018480000
     150 0.032356000
     156 0.053840000
     162 0.079080000
     168 0.099526000
     174 0.102046000
