#MET46-5  Hist_00502
    -180 0.009768000
    -174 0.009740000
    -168 0.008538000
    -162 0.006874000
    -156 0.005336000
    -150 0.003768000
    -144 0.002890000
    -138 0.002288000
    -132 0.001880000
    -126 0.001930000
    -120 0.002250000
    -114 0.003022000
    -108 0.004816000
    -102 0.008198000
     -96 0.014856000
     -90 0.025974000
     -84 0.039944000
     -78 0.050470000
     -72 0.051380000
     -66 0.041738000
     -60 0.027256000
     -54 0.014012000
     -48 0.005960000
     -42 0.002152000
     -36 0.000656000
     -30 0.000228000
     -24 0.000068000
     -18 0.000052000
     -12 0.000028000
      -6 0.000018000
       0 0.000016000
       6 0.000022000
      12 0.000068000
      18 0.000120000
      24 0.000406000
      30 0.001104000
      36 0.003696000
      42 0.010164000
      48 0.024888000
      54 0.049680000
      60 0.082278000
      66 0.107308000
      72 0.108594000
      78 0.086384000
      84 0.055400000
      90 0.031924000
      96 0.017114000
     102 0.009572000
     108 0.006096000
     114 0.004542000
     120 0.003836000
     126 0.003590000
     132 0.003828000
     138 0.004184000
     144 0.004472000
     150 0.005094000
     156 0.005774000
     162 0.006812000
     168 0.007878000
     174 0.009066000
