#GLU65-4  Hist_00696
    -180 0.105318000
    -174 0.100962000
    -168 0.088966000
    -162 0.077072000
    -156 0.062038000
    -150 0.042974000
    -144 0.026106000
    -138 0.014452000
    -132 0.009852000
    -126 0.008854000
    -120 0.010478000
    -114 0.013296000
    -108 0.015612000
    -102 0.014634000
     -96 0.011464000
     -90 0.007314000
     -84 0.003226000
     -78 0.001196000
     -72 0.000384000
     -66 0.000162000
     -60 0.000120000
     -54 0.000048000
     -48 0.000036000
     -42 0.000022000
     -36 0.000010000
     -30 0.000002000
     -24 0.000004000
     -18 0.000000000
     -12 0.000002000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000008000
      42 0.000024000
      48 0.000112000
      54 0.000442000
      60 0.001726000
      66 0.005552000
      72 0.014448000
      78 0.026386000
      84 0.031598000
      90 0.024394000
      96 0.012660000
     102 0.005732000
     108 0.002952000
     114 0.002012000
     120 0.001852000
     126 0.002320000
     132 0.003310000
     138 0.005108000
     144 0.008594000
     150 0.013780000
     156 0.023776000
     162 0.040876000
     168 0.066026000
     174 0.091708000
