#GLU120-1  Hist_01264
     -180 0.000414000
     -174 0.000034000
     -168 0.000000000
     -162 0.000000000
     -156 0.000000000
     -150 0.000000000
     -144 0.000000000
     -138 0.000000000
     -132 0.000000000
     -126 0.000000000
     -120 0.000000000
     -114 0.000000000
     -108 0.000000000
     -102 0.000000000
      -96 0.000000000
      -90 0.000000000
      -84 0.000000000
      -78 0.000000000
      -72 0.000000000
      -66 0.000000000
      -60 0.000000000
      -54 0.000000000
      -48 0.000000000
      -42 0.000000000
      -36 0.000000000
      -30 0.000000000
      -24 0.000000000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000002000
       48 0.000004000
       54 0.000004000
       60 0.000008000
       66 0.000036000
       72 0.000060000
       78 0.000160000
       84 0.000256000
       90 0.000466000
       96 0.000784000
      102 0.001492000
      108 0.002950000
      114 0.007140000
      120 0.016972000
      126 0.041112000
      132 0.088846000
      138 0.159784000
      144 0.219334000
      150 0.217888000
      156 0.150078000
      162 0.068598000
      168 0.020078000
      174 0.003500000
