#ASN187-4  Hist_01960
     -180 0.000796000
     -174 0.000328000
     -168 0.000264000
     -162 0.000216000
     -156 0.000244000
     -150 0.000218000
     -144 0.000276000
     -138 0.000296000
     -132 0.000234000
     -126 0.000244000
     -120 0.000208000
     -114 0.000222000
     -108 0.000178000
     -102 0.000166000
      -96 0.000130000
      -90 0.000092000
      -84 0.000068000
      -78 0.000022000
      -72 0.000006000
      -66 0.000002000
      -60 0.000002000
      -54 0.000000000
      -48 0.000000000
      -42 0.000000000
      -36 0.000000000
      -30 0.000000000
      -24 0.000000000
      -18 0.000000000
      -12 0.000000000
       -6 0.000004000
        0 0.000006000
        6 0.000002000
       12 0.000004000
       18 0.000008000
       24 0.000006000
       30 0.000020000
       36 0.000044000
       42 0.000066000
       48 0.000156000
       54 0.000256000
       60 0.000370000
       66 0.000394000
       72 0.000578000
       78 0.001050000
       84 0.003490000
       90 0.012422000
       96 0.034614000
      102 0.073524000
      108 0.120350000
      114 0.157544000
      120 0.165086000
      126 0.141578000
      132 0.104730000
      138 0.070296000
      144 0.044890000
      150 0.029066000
      156 0.018242000
      162 0.010202000
      168 0.004846000
      174 0.001944000
