#ASN182-1  Hist_01900
     -180 0.000000000
     -174 0.000000000
     -168 0.000000000
     -162 0.000000000
     -156 0.000000000
     -150 0.000000000
     -144 0.000000000
     -138 0.000000000
     -132 0.000000000
     -126 0.000000000
     -120 0.000000000
     -114 0.000000000
     -108 0.000000000
     -102 0.000000000
      -96 0.000000000
      -90 0.000000000
      -84 0.000000000
      -78 0.000000000
      -72 0.000000000
      -66 0.000000000
      -60 0.000000000
      -54 0.000000000
      -48 0.000000000
      -42 0.000000000
      -36 0.000000000
      -30 0.000000000
      -24 0.000000000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000002000
       54 0.000002000
       60 0.000002000
       66 0.000010000
       72 0.000034000
       78 0.000110000
       84 0.000246000
       90 0.000706000
       96 0.001834000
      102 0.006038000
      108 0.018334000
      114 0.054308000
      120 0.126098000
      126 0.214360000
      132 0.252034000
      138 0.192714000
      144 0.094500000
      150 0.030768000
      156 0.006694000
      162 0.001052000
      168 0.000150000
      174 0.000004000
