#MET46-1  Hist_00494
    -180 0.000166000
    -174 0.000020000
    -168 0.000000000
    -162 0.000000000
    -156 0.000000000
    -150 0.000000000
    -144 0.000000000
    -138 0.000000000
    -132 0.000000000
    -126 0.000000000
    -120 0.000000000
    -114 0.000000000
    -108 0.000000000
    -102 0.000000000
     -96 0.000000000
     -90 0.000000000
     -84 0.000000000
     -78 0.000000000
     -72 0.000000000
     -66 0.000000000
     -60 0.000000000
     -54 0.000000000
     -48 0.000000000
     -42 0.000000000
     -36 0.000000000
     -30 0.000000000
     -24 0.000000000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000004000
      36 0.000002000
      42 0.000008000
      48 0.000018000
      54 0.000076000
      60 0.000214000
      66 0.000456000
      72 0.000838000
      78 0.001454000
      84 0.002308000
      90 0.003728000
      96 0.006280000
     102 0.010960000
     108 0.021804000
     114 0.043920000
     120 0.085920000
     126 0.144844000
     132 0.195368000
     138 0.196688000
     144 0.145952000
     150 0.081534000
     156 0.037146000
     162 0.014588000
     168 0.004588000
     174 0.001116000
