#LYS70-3  Hist_00742
    -180 0.017018000
    -174 0.020212000
    -168 0.017754000
    -162 0.011964000
    -156 0.006584000
    -150 0.003214000
    -144 0.001434000
    -138 0.000656000
    -132 0.000334000
    -126 0.000250000
    -120 0.000276000
    -114 0.000462000
    -108 0.001102000
    -102 0.003302000
     -96 0.010456000
     -90 0.030382000
     -84 0.071676000
     -78 0.131218000
     -72 0.177426000
     -66 0.174572000
     -60 0.126690000
     -54 0.069904000
     -48 0.030254000
     -42 0.010658000
     -36 0.003170000
     -30 0.000852000
     -24 0.000244000
     -18 0.000070000
     -12 0.000024000
      -6 0.000012000
       0 0.000004000
       6 0.000006000
      12 0.000006000
      18 0.000020000
      24 0.000072000
      30 0.000236000
      36 0.000660000
      42 0.001796000
      48 0.004138000
      54 0.007888000
      60 0.011640000
      66 0.012616000
      72 0.010294000
      78 0.006438000
      84 0.002788000
      90 0.001074000
      96 0.000310000
     102 0.000106000
     108 0.000032000
     114 0.000006000
     120 0.000006000
     126 0.000012000
     132 0.000014000
     138 0.000010000
     144 0.000042000
     150 0.000162000
     156 0.000548000
     162 0.001774000
     168 0.004784000
     174 0.010348000
