#LEU188-1  Hist_01966
     -180 0.000000000
     -174 0.000000000
     -168 0.000000000
     -162 0.000000000
     -156 0.000000000
     -150 0.000000000
     -144 0.000000000
     -138 0.000000000
     -132 0.000000000
     -126 0.000000000
     -120 0.000000000
     -114 0.000000000
     -108 0.000000000
     -102 0.000000000
      -96 0.000000000
      -90 0.000000000
      -84 0.000000000
      -78 0.000004000
      -72 0.000036000
      -66 0.000568000
      -60 0.004852000
      -54 0.026862000
      -48 0.091910000
      -42 0.192844000
      -36 0.253872000
      -30 0.217744000
      -24 0.127664000
      -18 0.055538000
      -12 0.019696000
       -6 0.005986000
        0 0.001780000
        6 0.000484000
       12 0.000112000
       18 0.000034000
       24 0.000012000
       30 0.000000000
       36 0.000000000
       42 0.000002000
       48 0.000000000
       54 0.000000000
       60 0.000000000
       66 0.000000000
       72 0.000000000
       78 0.000000000
       84 0.000000000
       90 0.000000000
       96 0.000000000
      102 0.000000000
      108 0.000000000
      114 0.000000000
      120 0.000000000
      126 0.000000000
      132 0.000000000
      138 0.000000000
      144 0.000000000
      150 0.000000000
      156 0.000000000
      162 0.000000000
      168 0.000000000
      174 0.000000000
