#TRP6-0   Hist_00056
    -180 0.000000000
    -174 0.000000000
    -168 0.000000000
    -162 0.000000000
    -156 0.000002000
    -150 0.000002000
    -144 0.000002000
    -138 0.000002000
    -132 0.000000000
    -126 0.000014000
    -120 0.000018000
    -114 0.000048000
    -108 0.000244000
    -102 0.001056000
     -96 0.005612000
     -90 0.022880000
     -84 0.075714000
     -78 0.173864000
     -72 0.258804000
     -66 0.243628000
     -60 0.144786000
     -54 0.055914000
     -48 0.014324000
     -42 0.002624000
     -36 0.000404000
     -30 0.000052000
     -24 0.000006000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000000000
      54 0.000000000
      60 0.000000000
      66 0.000000000
      72 0.000000000
      78 0.000000000
      84 0.000000000
      90 0.000000000
      96 0.000000000
     102 0.000000000
     108 0.000000000
     114 0.000000000
     120 0.000000000
     126 0.000000000
     132 0.000000000
     138 0.000000000
     144 0.000000000
     150 0.000000000
     156 0.000000000
     162 0.000000000
     168 0.000000000
     174 0.000000000
