#TRP42-0  Hist_00438
    -180 0.001676000
    -174 0.011396000
    -168 0.047004000
    -162 0.115010000
    -156 0.180160000
    -150 0.193256000
    -144 0.155200000
    -138 0.103450000
    -132 0.060922000
    -126 0.035154000
    -120 0.020872000
    -114 0.013580000
    -108 0.010028000
    -102 0.008080000
     -96 0.007224000
     -90 0.007246000
     -84 0.007082000
     -78 0.006950000
     -72 0.005814000
     -66 0.004598000
     -60 0.002980000
     -54 0.001388000
     -48 0.000540000
     -42 0.000138000
     -36 0.000036000
     -30 0.000008000
     -24 0.000002000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000000000
      54 0.000000000
      60 0.000000000
      66 0.000000000
      72 0.000000000
      78 0.000000000
      84 0.000000000
      90 0.000000000
      96 0.000000000
     102 0.000000000
     108 0.000000000
     114 0.000000000
     120 0.000000000
     126 0.000000000
     132 0.000000000
     138 0.000000000
     144 0.000000000
     150 0.000000000
     156 0.000000000
     162 0.000000000
     168 0.000004000
     174 0.000202000
