#HID69-4  Hist_00734
    -180 0.000056000
    -174 0.000044000
    -168 0.000064000
    -162 0.000112000
    -156 0.000238000
    -150 0.000536000
    -144 0.001386000
    -138 0.003454000
    -132 0.007128000
    -126 0.012956000
    -120 0.020524000
    -114 0.027996000
    -108 0.032704000
    -102 0.033494000
     -96 0.030518000
     -90 0.022762000
     -84 0.015226000
     -78 0.008870000
     -72 0.004570000
     -66 0.002488000
     -60 0.001578000
     -54 0.001294000
     -48 0.001122000
     -42 0.001082000
     -36 0.001218000
     -30 0.001314000
     -24 0.001544000
     -18 0.001696000
     -12 0.001774000
      -6 0.001918000
       0 0.001954000
       6 0.001858000
      12 0.001774000
      18 0.001736000
      24 0.001534000
      30 0.001564000
      36 0.001878000
      42 0.002360000
      48 0.003648000
      54 0.006248000
      60 0.011776000
      66 0.020600000
      72 0.034620000
      78 0.052924000
      84 0.074000000
      90 0.093500000
      96 0.101784000
     102 0.100066000
     108 0.087072000
     114 0.066436000
     120 0.044560000
     126 0.025730000
     132 0.012822000
     138 0.005828000
     144 0.002368000
     150 0.001028000
     156 0.000314000
     162 0.000178000
     168 0.000102000
     174 0.000072000
