#LEU122-3  Hist_01288
     -180 0.000082000
     -174 0.000076000
     -168 0.000094000
     -162 0.000048000
     -156 0.000032000
     -150 0.000010000
     -144 0.000036000
     -138 0.000008000
     -132 0.000018000
     -126 0.000012000
     -120 0.000038000
     -114 0.000104000
     -108 0.000320000
     -102 0.001050000
      -96 0.003384000
      -90 0.011504000
      -84 0.035364000
      -78 0.089064000
      -72 0.164588000
      -66 0.217994000
      -60 0.202686000
      -54 0.142538000
      -48 0.076768000
      -42 0.034606000
      -36 0.012508000
      -30 0.003850000
      -24 0.000978000
      -18 0.000240000
      -12 0.000050000
       -6 0.000020000
        0 0.000006000
        6 0.000000000
       12 0.000000000
       18 0.000002000
       24 0.000014000
       30 0.000080000
       36 0.000168000
       42 0.000326000
       48 0.000382000
       54 0.000358000
       60 0.000266000
       66 0.000166000
       72 0.000070000
       78 0.000026000
       84 0.000004000
       90 0.000000000
       96 0.000000000
      102 0.000000000
      108 0.000000000
      114 0.000000000
      120 0.000000000
      126 0.000000000
      132 0.000000000
      138 0.000000000
      144 0.000000000
      150 0.000000000
      156 0.000000000
      162 0.000000000
      168 0.000020000
      174 0.000042000
