#VAL110-3  Hist_01162
     -180 0.004810000
     -174 0.003102000
     -168 0.001692000
     -162 0.000764000
     -156 0.000372000
     -150 0.000174000
     -144 0.000090000
     -138 0.000044000
     -132 0.000024000
     -126 0.000014000
     -120 0.000020000
     -114 0.000060000
     -108 0.000210000
     -102 0.000764000
      -96 0.003936000
      -90 0.017484000
      -84 0.056734000
      -78 0.126486000
      -72 0.183698000
      -66 0.176128000
      -60 0.115352000
      -54 0.053022000
      -48 0.017306000
      -42 0.004132000
      -36 0.000802000
      -30 0.000118000
      -24 0.000020000
      -18 0.000004000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000002000
       18 0.000000000
       24 0.000004000
       30 0.000026000
       36 0.000140000
       42 0.000570000
       48 0.002122000
       54 0.007136000
       60 0.020626000
       66 0.041554000
       72 0.054076000
       78 0.044478000
       84 0.024340000
       90 0.010412000
       96 0.003760000
      102 0.001520000
      108 0.000688000
      114 0.000378000
      120 0.000284000
      126 0.000280000
      132 0.000314000
      138 0.000500000
      144 0.000698000
      150 0.001346000
      156 0.002548000
      162 0.003946000
      168 0.005238000
      174 0.005652000
