#GLY52-0  Hist_00542
    -180 0.153016000
    -174 0.100518000
    -168 0.052430000
    -162 0.023370000
    -156 0.008770000
    -150 0.003178000
    -144 0.001100000
    -138 0.000390000
    -132 0.000212000
    -126 0.000100000
    -120 0.000086000
    -114 0.000070000
    -108 0.000090000
    -102 0.000102000
     -96 0.000156000
     -90 0.000266000
     -84 0.000388000
     -78 0.000430000
     -72 0.000550000
     -66 0.000408000
     -60 0.000214000
     -54 0.000094000
     -48 0.000042000
     -42 0.000020000
     -36 0.000006000
     -30 0.000000000
     -24 0.000000000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000008000
      48 0.000024000
      54 0.000078000
      60 0.000168000
      66 0.000434000
      72 0.000820000
      78 0.001174000
      84 0.001258000
      90 0.001448000
      96 0.001352000
     102 0.001416000
     108 0.001572000
     114 0.001760000
     120 0.002410000
     126 0.003186000
     132 0.004996000
     138 0.009708000
     144 0.019054000
     150 0.040816000
     156 0.077004000
     162 0.127878000
     168 0.172530000
     174 0.184900000
