#GLU120-3  Hist_01268
     -180 0.018400000
     -174 0.018050000
     -168 0.014586000
     -162 0.009912000
     -156 0.006072000
     -150 0.003516000
     -144 0.002044000
     -138 0.001136000
     -132 0.000726000
     -126 0.000618000
     -120 0.000790000
     -114 0.001310000
     -108 0.002480000
     -102 0.005464000
      -96 0.011460000
      -90 0.022664000
      -84 0.040208000
      -78 0.061922000
      -72 0.079082000
      -66 0.084138000
      -60 0.071048000
      -54 0.047748000
      -48 0.026356000
      -42 0.012322000
      -36 0.004918000
      -30 0.001750000
      -24 0.000528000
      -18 0.000202000
      -12 0.000054000
       -6 0.000044000
        0 0.000026000
        6 0.000020000
       12 0.000042000
       18 0.000096000
       24 0.000204000
       30 0.000596000
       36 0.002096000
       42 0.006470000
       48 0.018058000
       54 0.038624000
       60 0.065530000
       66 0.087388000
       72 0.090670000
       78 0.065546000
       84 0.031936000
       90 0.010520000
       96 0.002642000
      102 0.000728000
      108 0.000226000
      114 0.000046000
      120 0.000036000
      126 0.000014000
      132 0.000022000
      138 0.000046000
      144 0.000154000
      150 0.000466000
      156 0.001478000
      162 0.003942000
      168 0.008456000
      174 0.014374000
