#LYS211-5  Hist_02250
     -180 0.135172000
     -174 0.107960000
     -168 0.065498000
     -162 0.031790000
     -156 0.013226000
     -150 0.005118000
     -144 0.001932000
     -138 0.000850000
     -132 0.000398000
     -126 0.000270000
     -120 0.000302000
     -114 0.000372000
     -108 0.000690000
     -102 0.001492000
      -96 0.003516000
      -90 0.008604000
      -84 0.018242000
      -78 0.031148000
      -72 0.038968000
      -66 0.036752000
      -60 0.025984000
      -54 0.014256000
      -48 0.006414000
      -42 0.002484000
      -36 0.000876000
      -30 0.000306000
      -24 0.000104000
      -18 0.000046000
      -12 0.000024000
       -6 0.000020000
        0 0.000020000
        6 0.000036000
       12 0.000068000
       18 0.000138000
       24 0.000454000
       30 0.001256000
       36 0.003580000
       42 0.008262000
       48 0.015216000
       54 0.022030000
       60 0.025510000
       66 0.022914000
       72 0.016026000
       78 0.008764000
       84 0.004134000
       90 0.001926000
       96 0.000828000
      102 0.000394000
      108 0.000222000
      114 0.000170000
      120 0.000162000
      126 0.000284000
      132 0.000508000
      138 0.001268000
      144 0.003440000
      150 0.009598000
      156 0.024688000
      162 0.052864000
      168 0.093402000
      174 0.129024000
