#TYR24-0  Hist_00242
    -180 0.000000000
    -174 0.000004000
    -168 0.000044000
    -162 0.000682000
    -156 0.005180000
    -150 0.022980000
    -144 0.061910000
    -138 0.109202000
    -132 0.143388000
    -126 0.147954000
    -120 0.134584000
    -114 0.111984000
    -108 0.089994000
    -102 0.067998000
     -96 0.048158000
     -90 0.030344000
     -84 0.015972000
     -78 0.006814000
     -72 0.002094000
     -66 0.000584000
     -60 0.000110000
     -54 0.000016000
     -48 0.000004000
     -42 0.000000000
     -36 0.000000000
     -30 0.000000000
     -24 0.000000000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000000000
      54 0.000000000
      60 0.000000000
      66 0.000000000
      72 0.000000000
      78 0.000000000
      84 0.000000000
      90 0.000000000
      96 0.000000000
     102 0.000000000
     108 0.000000000
     114 0.000000000
     120 0.000000000
     126 0.000000000
     132 0.000000000
     138 0.000000000
     144 0.000000000
     150 0.000000000
     156 0.000000000
     162 0.000000000
     168 0.000000000
     174 0.000000000
