#ARG119-1  Hist_01234
     -180 0.000000000
     -174 0.000000000
     -168 0.000000000
     -162 0.000000000
     -156 0.000000000
     -150 0.000000000
     -144 0.000000000
     -138 0.000000000
     -132 0.000000000
     -126 0.000000000
     -120 0.000000000
     -114 0.000000000
     -108 0.000000000
     -102 0.000002000
      -96 0.000004000
      -90 0.000132000
      -84 0.000868000
      -78 0.003452000
      -72 0.009656000
      -66 0.017018000
      -60 0.021902000
      -54 0.025162000
      -48 0.036052000
      -42 0.070654000
      -36 0.127642000
      -30 0.181754000
      -24 0.192370000
      -18 0.153872000
      -12 0.094700000
       -6 0.044544000
        0 0.015718000
        6 0.003778000
       12 0.000638000
       18 0.000076000
       24 0.000006000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000000000
       54 0.000000000
       60 0.000000000
       66 0.000000000
       72 0.000000000
       78 0.000000000
       84 0.000000000
       90 0.000000000
       96 0.000000000
      102 0.000000000
      108 0.000000000
      114 0.000000000
      120 0.000000000
      126 0.000000000
      132 0.000000000
      138 0.000000000
      144 0.000000000
      150 0.000000000
      156 0.000000000
      162 0.000000000
      168 0.000000000
      174 0.000000000
