#ASN138-0  Hist_01436
     -180 0.007462000
     -174 0.041182000
     -168 0.122542000
     -162 0.214160000
     -156 0.235504000
     -150 0.179332000
     -144 0.107650000
     -138 0.054444000
     -132 0.023740000
     -126 0.008944000
     -120 0.002966000
     -114 0.000930000
     -108 0.000228000
     -102 0.000050000
      -96 0.000012000
      -90 0.000000000
      -84 0.000000000
      -78 0.000000000
      -72 0.000000000
      -66 0.000000000
      -60 0.000000000
      -54 0.000000000
      -48 0.000000000
      -42 0.000000000
      -36 0.000000000
      -30 0.000000000
      -24 0.000000000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000000000
       54 0.000000000
       60 0.000000000
       66 0.000000000
       72 0.000000000
       78 0.000000000
       84 0.000000000
       90 0.000000000
       96 0.000000000
      102 0.000000000
      108 0.000000000
      114 0.000000000
      120 0.000000000
      126 0.000000000
      132 0.000000000
      138 0.000000000
      144 0.000000000
      150 0.000000000
      156 0.000000000
      162 0.000006000
      168 0.000056000
      174 0.000792000
