#MET34-1  Hist_00342
    -180 0.000000000
    -174 0.000000000
    -168 0.000000000
    -162 0.000000000
    -156 0.000000000
    -150 0.000000000
    -144 0.000000000
    -138 0.000000000
    -132 0.000000000
    -126 0.000000000
    -120 0.000000000
    -114 0.000000000
    -108 0.000000000
    -102 0.000000000
     -96 0.000000000
     -90 0.000002000
     -84 0.000024000
     -78 0.000256000
     -72 0.002508000
     -66 0.014000000
     -60 0.052810000
     -54 0.132062000
     -48 0.222794000
     -42 0.250350000
     -36 0.188256000
     -30 0.094702000
     -24 0.032594000
     -18 0.007634000
     -12 0.001486000
      -6 0.000292000
       0 0.000134000
       6 0.000044000
      12 0.000046000
      18 0.000002000
      24 0.000004000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000000000
      54 0.000000000
      60 0.000000000
      66 0.000000000
      72 0.000000000
      78 0.000000000
      84 0.000000000
      90 0.000000000
      96 0.000000000
     102 0.000000000
     108 0.000000000
     114 0.000000000
     120 0.000000000
     126 0.000000000
     132 0.000000000
     138 0.000000000
     144 0.000000000
     150 0.000000000
     156 0.000000000
     162 0.000000000
     168 0.000000000
     174 0.000000000
