#GLU143-4  Hist_01504
     -180 0.016028000
     -174 0.012538000
     -168 0.008686000
     -162 0.005166000
     -156 0.003310000
     -150 0.001876000
     -144 0.001134000
     -138 0.000804000
     -132 0.000550000
     -126 0.000676000
     -120 0.000670000
     -114 0.000988000
     -108 0.001898000
     -102 0.003456000
      -96 0.005842000
      -90 0.008088000
      -84 0.010342000
      -78 0.012648000
      -72 0.013746000
      -66 0.012782000
      -60 0.009918000
      -54 0.006480000
      -48 0.003598000
      -42 0.001790000
      -36 0.000862000
      -30 0.000432000
      -24 0.000326000
      -18 0.000296000
      -12 0.000326000
       -6 0.000528000
        0 0.000890000
        6 0.001766000
       12 0.003666000
       18 0.008320000
       24 0.017560000
       30 0.034436000
       36 0.060562000
       42 0.091740000
       48 0.118368000
       54 0.126850000
       60 0.112084000
       66 0.082838000
       72 0.051516000
       78 0.031098000
       84 0.018914000
       90 0.012394000
       96 0.006720000
      102 0.002934000
      108 0.001034000
      114 0.000678000
      120 0.000490000
      126 0.000562000
      132 0.001002000
      138 0.001766000
      144 0.003112000
      150 0.005574000
      156 0.009240000
      162 0.013102000
      168 0.017028000
      174 0.017972000
