#SER41-1  Hist_00420
    -180 0.000000000
    -174 0.000000000
    -168 0.000000000
    -162 0.000000000
    -156 0.000000000
    -150 0.000000000
    -144 0.000000000
    -138 0.000000000
    -132 0.000000000
    -126 0.000000000
    -120 0.000000000
    -114 0.000002000
    -108 0.000000000
    -102 0.000000000
     -96 0.000000000
     -90 0.000004000
     -84 0.000008000
     -78 0.000016000
     -72 0.000058000
     -66 0.000246000
     -60 0.000796000
     -54 0.002662000
     -48 0.007724000
     -42 0.019654000
     -36 0.042734000
     -30 0.080144000
     -24 0.127116000
     -18 0.168712000
     -12 0.180692000
      -6 0.155532000
       0 0.106656000
       6 0.059982000
      12 0.028500000
      18 0.011798000
      24 0.004498000
      30 0.001534000
      36 0.000612000
      42 0.000208000
      48 0.000078000
      54 0.000016000
      60 0.000010000
      66 0.000008000
      72 0.000000000
      78 0.000000000
      84 0.000000000
      90 0.000000000
      96 0.000000000
     102 0.000000000
     108 0.000000000
     114 0.000000000
     120 0.000000000
     126 0.000000000
     132 0.000000000
     138 0.000000000
     144 0.000000000
     150 0.000000000
     156 0.000000000
     162 0.000000000
     168 0.000000000
     174 0.000000000
