#VAL196-3  Hist_02092
     -180 0.097418000
     -174 0.077550000
     -168 0.047414000
     -162 0.022492000
     -156 0.009058000
     -150 0.002972000
     -144 0.001160000
     -138 0.000536000
     -132 0.000294000
     -126 0.000160000
     -120 0.000202000
     -114 0.000276000
     -108 0.000468000
     -102 0.001004000
      -96 0.002408000
      -90 0.005936000
      -84 0.012440000
      -78 0.021202000
      -72 0.027056000
      -66 0.026836000
      -60 0.019032000
      -54 0.009648000
      -48 0.003350000
      -42 0.001036000
      -36 0.000252000
      -30 0.000050000
      -24 0.000014000
      -18 0.000008000
      -12 0.000004000
       -6 0.000000000
        0 0.000004000
        6 0.000006000
       12 0.000008000
       18 0.000060000
       24 0.000208000
       30 0.000658000
       36 0.002586000
       42 0.009064000
       48 0.027844000
       54 0.063146000
       60 0.095064000
       66 0.092668000
       72 0.060430000
       78 0.027726000
       84 0.009712000
       90 0.003014000
       96 0.000904000
      102 0.000284000
      108 0.000134000
      114 0.000084000
      120 0.000076000
      126 0.000220000
      132 0.000360000
      138 0.000854000
      144 0.002014000
      150 0.005664000
      156 0.015082000
      162 0.035554000
      168 0.064720000
      174 0.091576000
