#SER183-3  Hist_01948
     -180 0.039628000
     -174 0.030226000
     -168 0.017384000
     -162 0.007544000
     -156 0.002618000
     -150 0.000840000
     -144 0.000254000
     -138 0.000096000
     -132 0.000032000
     -126 0.000026000
     -120 0.000012000
     -114 0.000024000
     -108 0.000030000
     -102 0.000060000
      -96 0.000318000
      -90 0.002202000
      -84 0.013378000
      -78 0.056594000
      -72 0.146302000
      -66 0.211884000
      -60 0.168282000
      -54 0.074698000
      -48 0.019180000
      -42 0.003054000
      -36 0.000368000
      -30 0.000038000
      -24 0.000010000
      -18 0.000002000
      -12 0.000000000
       -6 0.000002000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000010000
       24 0.000032000
       30 0.000348000
       36 0.001592000
       42 0.006540000
       48 0.017410000
       54 0.029312000
       60 0.030528000
       66 0.020472000
       72 0.010418000
       78 0.004898000
       84 0.002118000
       90 0.000846000
       96 0.000288000
      102 0.000094000
      108 0.000018000
      114 0.000024000
      120 0.000004000
      126 0.000022000
      132 0.000046000
      138 0.000152000
      144 0.000400000
      150 0.001392000
      156 0.004646000
      162 0.012326000
      168 0.024388000
      174 0.036590000
