#ASN79-1  Hist_00824
    -180 0.000340000
    -174 0.000276000
    -168 0.000156000
    -162 0.000130000
    -156 0.000062000
    -150 0.000006000
    -144 0.000012000
    -138 0.000004000
    -132 0.000000000
    -126 0.000008000
    -120 0.000002000
    -114 0.000004000
    -108 0.000008000
    -102 0.000016000
     -96 0.000024000
     -90 0.000056000
     -84 0.000178000
     -78 0.000490000
     -72 0.001338000
     -66 0.003346000
     -60 0.007756000
     -54 0.015118000
     -48 0.026840000
     -42 0.041406000
     -36 0.057984000
     -30 0.077020000
     -24 0.093404000
     -18 0.108334000
     -12 0.114198000
      -6 0.110444000
       0 0.096096000
       6 0.078224000
      12 0.060564000
      18 0.043274000
      24 0.027990000
      30 0.016502000
      36 0.008736000
      42 0.004450000
      48 0.002230000
      54 0.001092000
      60 0.000500000
      66 0.000308000
      72 0.000108000
      78 0.000076000
      84 0.000036000
      90 0.000012000
      96 0.000008000
     102 0.000006000
     108 0.000000000
     114 0.000000000
     120 0.000002000
     126 0.000000000
     132 0.000000000
     138 0.000002000
     144 0.000006000
     150 0.000028000
     156 0.000088000
     162 0.000146000
     168 0.000270000
     174 0.000286000
