#SER129-1  Hist_01344
     -180 0.000000000
     -174 0.000000000
     -168 0.000000000
     -162 0.000000000
     -156 0.000000000
     -150 0.000000000
     -144 0.000000000
     -138 0.000000000
     -132 0.000000000
     -126 0.000000000
     -120 0.000000000
     -114 0.000000000
     -108 0.000000000
     -102 0.000000000
      -96 0.000000000
      -90 0.000006000
      -84 0.000014000
      -78 0.000074000
      -72 0.000354000
      -66 0.001230000
      -60 0.004698000
      -54 0.015734000
      -48 0.042294000
      -42 0.095574000
      -36 0.166958000
      -30 0.218604000
      -24 0.208632000
      -18 0.141290000
      -12 0.069196000
       -6 0.024534000
        0 0.007148000
        6 0.002046000
       12 0.000818000
       18 0.000440000
       24 0.000214000
       30 0.000096000
       36 0.000034000
       42 0.000004000
       48 0.000004000
       54 0.000004000
       60 0.000000000
       66 0.000000000
       72 0.000000000
       78 0.000000000
       84 0.000000000
       90 0.000000000
       96 0.000000000
      102 0.000000000
      108 0.000000000
      114 0.000000000
      120 0.000000000
      126 0.000000000
      132 0.000000000
      138 0.000000000
      144 0.000000000
      150 0.000000000
      156 0.000000000
      162 0.000000000
      168 0.000000000
      174 0.000000000
