#ASN102-3  Hist_01066
     -180 0.031502000
     -174 0.034008000
     -168 0.029548000
     -162 0.020168000
     -156 0.010940000
     -150 0.005316000
     -144 0.002470000
     -138 0.001134000
     -132 0.000540000
     -126 0.000374000
     -120 0.000406000
     -114 0.000668000
     -108 0.001496000
     -102 0.003882000
      -96 0.010384000
      -90 0.027978000
      -84 0.061162000
      -78 0.104738000
      -72 0.137022000
      -66 0.139102000
      -60 0.108352000
      -54 0.064970000
      -48 0.030680000
      -42 0.011912000
      -36 0.004106000
      -30 0.001450000
      -24 0.000512000
      -18 0.000174000
      -12 0.000092000
       -6 0.000050000
        0 0.000042000
        6 0.000034000
       12 0.000040000
       18 0.000070000
       24 0.000264000
       30 0.000676000
       36 0.002316000
       42 0.006236000
       48 0.012606000
       54 0.018514000
       60 0.019298000
       66 0.015352000
       72 0.010590000
       78 0.006214000
       84 0.003498000
       90 0.002222000
       96 0.001318000
      102 0.000782000
      108 0.000450000
      114 0.000274000
      120 0.000222000
      126 0.000168000
      132 0.000188000
      138 0.000292000
      144 0.000516000
      150 0.001136000
      156 0.003226000
      162 0.007952000
      168 0.015850000
      174 0.024518000
