#ILE3-0   Hist_00028
    -180 0.000016000
    -174 0.000162000
    -168 0.001408000
    -162 0.008038000
    -156 0.033662000
    -150 0.098466000
    -144 0.188542000
    -138 0.230154000
    -132 0.191220000
    -126 0.122738000
    -120 0.065750000
    -114 0.032908000
    -108 0.015160000
    -102 0.007088000
     -96 0.003078000
     -90 0.001132000
     -84 0.000354000
     -78 0.000096000
     -72 0.000024000
     -66 0.000002000
     -60 0.000002000
     -54 0.000000000
     -48 0.000000000
     -42 0.000000000
     -36 0.000000000
     -30 0.000000000
     -24 0.000000000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000000000
      54 0.000000000
      60 0.000000000
      66 0.000000000
      72 0.000000000
      78 0.000000000
      84 0.000000000
      90 0.000000000
      96 0.000000000
     102 0.000000000
     108 0.000000000
     114 0.000000000
     120 0.000000000
     126 0.000000000
     132 0.000000000
     138 0.000000000
     144 0.000000000
     150 0.000000000
     156 0.000000000
     162 0.000000000
     168 0.000000000
     174 0.000000000
