#SER41-0  Hist_00418
    -180 0.000004000
    -174 0.000014000
    -168 0.000066000
    -162 0.000144000
    -156 0.000334000
    -150 0.000642000
    -144 0.001020000
    -138 0.001582000
    -132 0.002226000
    -126 0.003236000
    -120 0.005010000
    -114 0.008780000
    -108 0.017958000
    -102 0.036268000
     -96 0.073888000
     -90 0.132566000
     -84 0.193722000
     -78 0.214262000
     -72 0.171060000
     -66 0.092964000
     -60 0.034208000
     -54 0.008408000
     -48 0.001450000
     -42 0.000168000
     -36 0.000018000
     -30 0.000002000
     -24 0.000000000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000000000
      54 0.000000000
      60 0.000000000
      66 0.000000000
      72 0.000000000
      78 0.000000000
      84 0.000000000
      90 0.000000000
      96 0.000000000
     102 0.000000000
     108 0.000000000
     114 0.000000000
     120 0.000000000
     126 0.000000000
     132 0.000000000
     138 0.000000000
     144 0.000000000
     150 0.000000000
     156 0.000000000
     162 0.000000000
     168 0.000000000
     174 0.000000000
