#SER129-3  Hist_01348
     -180 0.000478000
     -174 0.000638000
     -168 0.000686000
     -162 0.000576000
     -156 0.000376000
     -150 0.000186000
     -144 0.000066000
     -138 0.000018000
     -132 0.000016000
     -126 0.000002000
     -120 0.000000000
     -114 0.000002000
     -108 0.000002000
     -102 0.000004000
      -96 0.000006000
      -90 0.000018000
      -84 0.000056000
      -78 0.000168000
      -72 0.000376000
      -66 0.000796000
      -60 0.001106000
      -54 0.000948000
      -48 0.000638000
      -42 0.000250000
      -36 0.000102000
      -30 0.000032000
      -24 0.000006000
      -18 0.000002000
      -12 0.000002000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000006000
       36 0.000084000
       42 0.001276000
       48 0.013902000
       54 0.077256000
       60 0.220148000
       66 0.323200000
       72 0.237676000
       78 0.094258000
       84 0.020802000
       90 0.003060000
       96 0.000332000
      102 0.000022000
      108 0.000000000
      114 0.000000000
      120 0.000000000
      126 0.000000000
      132 0.000000000
      138 0.000000000
      144 0.000002000
      150 0.000006000
      156 0.000008000
      162 0.000040000
      168 0.000120000
      174 0.000246000
