#GLY85-1  Hist_00882
    -180 0.000000000
    -174 0.000000000
    -168 0.000000000
    -162 0.000004000
    -156 0.000004000
    -150 0.000010000
    -144 0.000032000
    -138 0.000036000
    -132 0.000106000
    -126 0.000184000
    -120 0.000252000
    -114 0.000372000
    -108 0.000686000
    -102 0.001404000
     -96 0.002444000
     -90 0.003948000
     -84 0.005280000
     -78 0.007024000
     -72 0.009334000
     -66 0.012882000
     -60 0.019438000
     -54 0.030748000
     -48 0.048694000
     -42 0.072968000
     -36 0.097172000
     -30 0.117272000
     -24 0.126518000
     -18 0.119192000
     -12 0.101064000
      -6 0.076760000
       0 0.054248000
       6 0.034908000
      12 0.022102000
      18 0.014102000
      24 0.009172000
      30 0.006004000
      36 0.003164000
      42 0.001508000
      48 0.000654000
      54 0.000212000
      60 0.000060000
      66 0.000032000
      72 0.000004000
      78 0.000002000
      84 0.000000000
      90 0.000000000
      96 0.000000000
     102 0.000000000
     108 0.000000000
     114 0.000000000
     120 0.000000000
     126 0.000000000
     132 0.000000000
     138 0.000000000
     144 0.000000000
     150 0.000000000
     156 0.000000000
     162 0.000000000
     168 0.000000000
     174 0.000000000
