#HIE172-1  Hist_01828
     -180 0.000000000
     -174 0.000000000
     -168 0.000000000
     -162 0.000000000
     -156 0.000000000
     -150 0.000000000
     -144 0.000000000
     -138 0.000000000
     -132 0.000000000
     -126 0.000000000
     -120 0.000000000
     -114 0.000000000
     -108 0.000000000
     -102 0.000000000
      -96 0.000000000
      -90 0.000002000
      -84 0.000004000
      -78 0.000022000
      -72 0.000234000
      -66 0.001526000
      -60 0.007434000
      -54 0.026358000
      -48 0.063678000
      -42 0.117334000
      -36 0.164794000
      -30 0.183378000
      -24 0.163630000
      -18 0.117566000
      -12 0.071898000
       -6 0.039842000
        0 0.021186000
        6 0.010740000
       12 0.005304000
       18 0.002760000
       24 0.001290000
       30 0.000646000
       36 0.000292000
       42 0.000060000
       48 0.000018000
       54 0.000002000
       60 0.000002000
       66 0.000000000
       72 0.000000000
       78 0.000000000
       84 0.000000000
       90 0.000000000
       96 0.000000000
      102 0.000000000
      108 0.000000000
      114 0.000000000
      120 0.000000000
      126 0.000000000
      132 0.000000000
      138 0.000000000
      144 0.000000000
      150 0.000000000
      156 0.000000000
      162 0.000000000
      168 0.000000000
      174 0.000000000
