#GLU62-4  Hist_00640
    -180 0.035532000
    -174 0.030534000
    -168 0.024326000
    -162 0.017362000
    -156 0.010842000
    -150 0.005652000
    -144 0.002926000
    -138 0.001678000
    -132 0.000980000
    -126 0.000872000
    -120 0.001028000
    -114 0.002200000
    -108 0.005896000
    -102 0.012538000
     -96 0.019518000
     -90 0.024978000
     -84 0.031350000
     -78 0.044050000
     -72 0.057816000
     -66 0.064038000
     -60 0.057966000
     -54 0.040226000
     -48 0.023436000
     -42 0.011396000
     -36 0.004864000
     -30 0.002010000
     -24 0.000828000
     -18 0.000366000
     -12 0.000204000
      -6 0.000098000
       0 0.000056000
       6 0.000066000
      12 0.000096000
      18 0.000188000
      24 0.000484000
      30 0.001546000
      36 0.004824000
      42 0.013478000
      48 0.028224000
      54 0.046642000
      60 0.056680000
      66 0.054850000
      72 0.045422000
      78 0.032420000
      84 0.021690000
      90 0.014412000
      96 0.008654000
     102 0.004254000
     108 0.002058000
     114 0.001268000
     120 0.001124000
     126 0.001424000
     132 0.001794000
     138 0.002762000
     144 0.004978000
     150 0.009000000
     156 0.015126000
     162 0.023668000
     168 0.031594000
     174 0.035708000
