#SER30-3  Hist_00312
    -180 0.161148000
    -174 0.113666000
    -168 0.063678000
    -162 0.026944000
    -156 0.008476000
    -150 0.001924000
    -144 0.000324000
    -138 0.000044000
    -132 0.000006000
    -126 0.000002000
    -120 0.000000000
    -114 0.000004000
    -108 0.000006000
    -102 0.000018000
     -96 0.000048000
     -90 0.000302000
     -84 0.001174000
     -78 0.003676000
     -72 0.008114000
     -66 0.012018000
     -60 0.011730000
     -54 0.007340000
     -48 0.003282000
     -42 0.001138000
     -36 0.000426000
     -30 0.000168000
     -24 0.000090000
     -18 0.000030000
     -12 0.000012000
      -6 0.000016000
       0 0.000006000
       6 0.000022000
      12 0.000026000
      18 0.000096000
      24 0.000254000
      30 0.000606000
      36 0.001636000
      42 0.002532000
      48 0.003400000
      54 0.003126000
      60 0.002160000
      66 0.001150000
      72 0.000648000
      78 0.000328000
      84 0.000204000
      90 0.000124000
      96 0.000064000
     102 0.000040000
     108 0.000060000
     114 0.000034000
     120 0.000088000
     126 0.000214000
     132 0.000444000
     138 0.001716000
     144 0.006030000
     150 0.020804000
     156 0.057332000
     162 0.116788000
     168 0.168932000
     174 0.185332000
