#ARG123-0  Hist_01272
     -180 0.000000000
     -174 0.000000000
     -168 0.000000000
     -162 0.000000000
     -156 0.000000000
     -150 0.000000000
     -144 0.000000000
     -138 0.000000000
     -132 0.000002000
     -126 0.000024000
     -120 0.000080000
     -114 0.000346000
     -108 0.001360000
     -102 0.005612000
      -96 0.020678000
      -90 0.063056000
      -84 0.144812000
      -78 0.233620000
      -72 0.251516000
      -66 0.175426000
      -60 0.076724000
      -54 0.021788000
      -48 0.004324000
      -42 0.000578000
      -36 0.000048000
      -30 0.000006000
      -24 0.000000000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000000000
       54 0.000000000
       60 0.000000000
       66 0.000000000
       72 0.000000000
       78 0.000000000
       84 0.000000000
       90 0.000000000
       96 0.000000000
      102 0.000000000
      108 0.000000000
      114 0.000000000
      120 0.000000000
      126 0.000000000
      132 0.000000000
      138 0.000000000
      144 0.000000000
      150 0.000000000
      156 0.000000000
      162 0.000000000
      168 0.000000000
      174 0.000000000
