#GLN173-6  Hist_01848
     -180 0.202108000
     -174 0.153254000
     -168 0.086726000
     -162 0.038300000
     -156 0.013026000
     -150 0.003526000
     -144 0.000826000
     -138 0.000170000
     -132 0.000034000
     -126 0.000004000
     -120 0.000002000
     -114 0.000000000
     -108 0.000000000
     -102 0.000000000
      -96 0.000000000
      -90 0.000000000
      -84 0.000000000
      -78 0.000000000
      -72 0.000000000
      -66 0.000000000
      -60 0.000000000
      -54 0.000000000
      -48 0.000000000
      -42 0.000000000
      -36 0.000000000
      -30 0.000000000
      -24 0.000000000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000000000
       54 0.000000000
       60 0.000000000
       66 0.000000000
       72 0.000000000
       78 0.000000000
       84 0.000000000
       90 0.000000000
       96 0.000000000
      102 0.000000000
      108 0.000000000
      114 0.000000000
      120 0.000008000
      126 0.000022000
      132 0.000186000
      138 0.000776000
      144 0.003712000
      150 0.013494000
      156 0.039062000
      162 0.088648000
      168 0.153974000
      174 0.202142000
