#MET34-3  Hist_00346
    -180 0.028650000
    -174 0.025052000
    -168 0.015700000
    -162 0.007430000
    -156 0.002928000
    -150 0.000942000
    -144 0.000452000
    -138 0.000152000
    -132 0.000098000
    -126 0.000090000
    -120 0.000108000
    -114 0.000240000
    -108 0.000628000
    -102 0.002110000
     -96 0.008390000
     -90 0.030774000
     -84 0.087722000
     -78 0.176596000
     -72 0.223370000
     -66 0.174248000
     -60 0.085490000
     -54 0.027784000
     -48 0.006682000
     -42 0.001396000
     -36 0.000258000
     -30 0.000066000
     -24 0.000010000
     -18 0.000002000
     -12 0.000000000
      -6 0.000000000
       0 0.000002000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000006000
      36 0.000018000
      42 0.000116000
      48 0.000378000
      54 0.001326000
      60 0.003146000
      66 0.006214000
      72 0.009298000
      78 0.009084000
      84 0.006874000
      90 0.003334000
      96 0.001426000
     102 0.000510000
     108 0.000180000
     114 0.000088000
     120 0.000046000
     126 0.000064000
     132 0.000094000
     138 0.000122000
     144 0.000358000
     150 0.000926000
     156 0.002814000
     162 0.007064000
     168 0.015010000
     174 0.024134000
