#THR149-4  Hist_01566
     -180 0.000044000
     -174 0.000034000
     -168 0.000024000
     -162 0.000010000
     -156 0.000020000
     -150 0.000028000
     -144 0.000024000
     -138 0.000030000
     -132 0.000056000
     -126 0.000124000
     -120 0.000306000
     -114 0.000918000
     -108 0.003062000
     -102 0.010316000
      -96 0.031180000
      -90 0.075810000
      -84 0.147782000
      -78 0.211530000
      -72 0.216172000
      -66 0.159730000
      -60 0.087330000
      -54 0.037262000
      -48 0.012560000
      -42 0.003608000
      -36 0.001088000
      -30 0.000308000
      -24 0.000112000
      -18 0.000016000
      -12 0.000008000
       -6 0.000002000
        0 0.000000000
        6 0.000004000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000000000
       54 0.000000000
       60 0.000000000
       66 0.000000000
       72 0.000000000
       78 0.000000000
       84 0.000000000
       90 0.000002000
       96 0.000002000
      102 0.000004000
      108 0.000004000
      114 0.000008000
      120 0.000008000
      126 0.000006000
      132 0.000016000
      138 0.000026000
      144 0.000044000
      150 0.000044000
      156 0.000086000
      162 0.000086000
      168 0.000102000
      174 0.000064000
