#GLU143-5  Hist_01506
     -180 0.014154000
     -174 0.016958000
     -168 0.020828000
     -162 0.025700000
     -156 0.029632000
     -150 0.032262000
     -144 0.032916000
     -138 0.031532000
     -132 0.027908000
     -126 0.023348000
     -120 0.020040000
     -114 0.016416000
     -108 0.014256000
     -102 0.012890000
      -96 0.011664000
      -90 0.010856000
      -84 0.010638000
      -78 0.010992000
      -72 0.010382000
      -66 0.011206000
      -60 0.011446000
      -54 0.011644000
      -48 0.011784000
      -42 0.011286000
      -36 0.011054000
      -30 0.010548000
      -24 0.010172000
      -18 0.010014000
      -12 0.010738000
       -6 0.011970000
        0 0.014388000
        6 0.017714000
       12 0.021634000
       18 0.026212000
       24 0.031070000
       30 0.034210000
       36 0.034718000
       42 0.033372000
       48 0.029264000
       54 0.024462000
       60 0.019848000
       66 0.016908000
       72 0.014332000
       78 0.012754000
       84 0.011180000
       90 0.010494000
       96 0.010268000
      102 0.010382000
      108 0.009828000
      114 0.010560000
      120 0.011074000
      126 0.011138000
      132 0.011662000
      138 0.011484000
      144 0.011226000
      150 0.010648000
      156 0.010456000
      162 0.010456000
      168 0.010968000
      174 0.012056000
