#LEU115-1  Hist_01196
     -180 0.000000000
     -174 0.000000000
     -168 0.000000000
     -162 0.000000000
     -156 0.000000000
     -150 0.000000000
     -144 0.000000000
     -138 0.000000000
     -132 0.000000000
     -126 0.000000000
     -120 0.000000000
     -114 0.000000000
     -108 0.000000000
     -102 0.000000000
      -96 0.000000000
      -90 0.000000000
      -84 0.000002000
      -78 0.000014000
      -72 0.000106000
      -66 0.001096000
      -60 0.008016000
      -54 0.038770000
      -48 0.121876000
      -42 0.234620000
      -36 0.271790000
      -30 0.190014000
      -24 0.087098000
      -18 0.029968000
      -12 0.010352000
       -6 0.003998000
        0 0.001524000
        6 0.000520000
       12 0.000162000
       18 0.000040000
       24 0.000024000
       30 0.000008000
       36 0.000000000
       42 0.000000000
       48 0.000002000
       54 0.000000000
       60 0.000000000
       66 0.000000000
       72 0.000000000
       78 0.000000000
       84 0.000000000
       90 0.000000000
       96 0.000000000
      102 0.000000000
      108 0.000000000
      114 0.000000000
      120 0.000000000
      126 0.000000000
      132 0.000000000
      138 0.000000000
      144 0.000000000
      150 0.000000000
      156 0.000000000
      162 0.000000000
      168 0.000000000
      174 0.000000000
