#LEU153-3  Hist_01604
     -180 0.000010000
     -174 0.000018000
     -168 0.000014000
     -162 0.000026000
     -156 0.000016000
     -150 0.000012000
     -144 0.000010000
     -138 0.000002000
     -132 0.000000000
     -126 0.000000000
     -120 0.000002000
     -114 0.000014000
     -108 0.000036000
     -102 0.000136000
      -96 0.000338000
      -90 0.001444000
      -84 0.008786000
      -78 0.043770000
      -72 0.140516000
      -66 0.268006000
      -60 0.287746000
      -54 0.174532000
      -48 0.059836000
      -42 0.012790000
      -36 0.001718000
      -30 0.000200000
      -24 0.000016000
      -18 0.000002000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000000000
       54 0.000000000
       60 0.000000000
       66 0.000000000
       72 0.000000000
       78 0.000000000
       84 0.000000000
       90 0.000000000
       96 0.000000000
      102 0.000000000
      108 0.000000000
      114 0.000000000
      120 0.000000000
      126 0.000000000
      132 0.000000000
      138 0.000000000
      144 0.000000000
      150 0.000000000
      156 0.000000000
      162 0.000000000
      168 0.000000000
      174 0.000004000
