#GLN48-0  Hist_00484
    -180 0.000000000
    -174 0.000004000
    -168 0.000002000
    -162 0.000012000
    -156 0.000032000
    -150 0.000084000
    -144 0.000272000
    -138 0.000580000
    -132 0.001252000
    -126 0.002210000
    -120 0.004056000
    -114 0.007290000
    -108 0.013242000
    -102 0.024694000
     -96 0.046122000
     -90 0.082880000
     -84 0.135796000
     -78 0.186130000
     -72 0.202724000
     -66 0.160724000
     -60 0.088710000
     -54 0.033000000
     -48 0.008442000
     -42 0.001526000
     -36 0.000184000
     -30 0.000032000
     -24 0.000000000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000000000
      54 0.000000000
      60 0.000000000
      66 0.000000000
      72 0.000000000
      78 0.000000000
      84 0.000000000
      90 0.000000000
      96 0.000000000
     102 0.000000000
     108 0.000000000
     114 0.000000000
     120 0.000000000
     126 0.000000000
     132 0.000000000
     138 0.000000000
     144 0.000000000
     150 0.000000000
     156 0.000000000
     162 0.000000000
     168 0.000000000
     174 0.000000000
