#TYR171-3  Hist_01820
     -180 0.077528000
     -174 0.026764000
     -168 0.006902000
     -162 0.001544000
     -156 0.000226000
     -150 0.000026000
     -144 0.000004000
     -138 0.000000000
     -132 0.000000000
     -126 0.000000000
     -120 0.000000000
     -114 0.000000000
     -108 0.000000000
     -102 0.000000000
      -96 0.000000000
      -90 0.000000000
      -84 0.000000000
      -78 0.000000000
      -72 0.000000000
      -66 0.000000000
      -60 0.000000000
      -54 0.000000000
      -48 0.000000000
      -42 0.000000000
      -36 0.000000000
      -30 0.000000000
      -24 0.000000000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000000000
       54 0.000000000
       60 0.000000000
       66 0.000000000
       72 0.000000000
       78 0.000000000
       84 0.000000000
       90 0.000000000
       96 0.000000000
      102 0.000002000
      108 0.000004000
      114 0.000008000
      120 0.000046000
      126 0.000126000
      132 0.000370000
      138 0.002006000
      144 0.009500000
      150 0.042638000
      156 0.135336000
      162 0.255266000
      168 0.269024000
      174 0.172680000
