#THR199-0  Hist_02110
     -180 0.000000000
     -174 0.000000000
     -168 0.000000000
     -162 0.000004000
     -156 0.000052000
     -150 0.000190000
     -144 0.000574000
     -138 0.001546000
     -132 0.003110000
     -126 0.005608000
     -120 0.010502000
     -114 0.017832000
     -108 0.032666000
     -102 0.058470000
      -96 0.099742000
      -90 0.148254000
      -84 0.181214000
      -78 0.177770000
      -72 0.136186000
      -66 0.078714000
      -60 0.033982000
      -54 0.010744000
      -48 0.002376000
      -42 0.000404000
      -36 0.000058000
      -30 0.000002000
      -24 0.000000000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000000000
       54 0.000000000
       60 0.000000000
       66 0.000000000
       72 0.000000000
       78 0.000000000
       84 0.000000000
       90 0.000000000
       96 0.000000000
      102 0.000000000
      108 0.000000000
      114 0.000000000
      120 0.000000000
      126 0.000000000
      132 0.000000000
      138 0.000000000
      144 0.000000000
      150 0.000000000
      156 0.000000000
      162 0.000000000
      168 0.000000000
      174 0.000000000
