#GLU187-0  Hist_01986
     -180 0.000000000
     -174 0.000000000
     -168 0.000000000
     -162 0.000000000
     -156 0.000000000
     -150 0.000000000
     -144 0.000004000
     -138 0.000002000
     -132 0.000024000
     -126 0.000028000
     -120 0.000074000
     -114 0.000188000
     -108 0.000512000
     -102 0.001814000
      -96 0.006746000
      -90 0.023034000
      -84 0.069516000
      -78 0.160244000
      -72 0.254242000
      -66 0.255664000
      -60 0.156634000
      -54 0.057028000
      -48 0.012364000
      -42 0.001714000
      -36 0.000164000
      -30 0.000004000
      -24 0.000000000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000000000
       54 0.000000000
       60 0.000000000
       66 0.000000000
       72 0.000000000
       78 0.000000000
       84 0.000000000
       90 0.000000000
       96 0.000000000
      102 0.000000000
      108 0.000000000
      114 0.000000000
      120 0.000000000
      126 0.000000000
      132 0.000000000
      138 0.000000000
      144 0.000000000
      150 0.000000000
      156 0.000000000
      162 0.000000000
      168 0.000000000
      174 0.000000000
